,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
gushers,158.33957773556102,3155.236838743759,38231.32299556631,20284.025435841904,-181.65717457930015,-5562.152245931999,-5040.203265275048,879.0710754058789,-777.1404894266196,9.935891245619324,0.05798836941432209,-1040.5671630594497,0.00033360464939746537,-0.004022713950801108,-0.018502114173605963,-0.0018144057628574459,0.02490209909878908,0.1087951072345073,-0.043362708545568146,0.0025104564773612698,3.1627718486336116,0.41776239597628195,-0.36251886129027194,0.19910966851564466,1.6636594940701128,1.98298781972868,-0.1193021144410506,-1.9711701963528179,0.25923283326837687,6.163108090694086,7.108821501720506,-4.361605203407876,0.10915208644658816
groundcherrie,74.00000000000004,1000.000000000072,1.6639677639811603e-11,1.0438190253062396e-11,2.3466382810037847e-13,15700.000000000004,-1.3924839955288078e-11,2699.9999999999577,-6.729089352681868e-12,-3.263829296671363e-13,1.3124583250833076e-16,119600.00000000006,-6.2966319715330135e-18,0.19999999999999937,6.468736419023325e-17,-2.1614070967191003e-16,0.04299999999999946,3.899999999999991,-6.175302248080162e-15,-3.176257207517361e-15,15.400000000000052,-2.2880081053244776e-15,3.1319733406160314e-15,-1.16982318624899e-14,12.60000000000028,-3.5205009735688507e-13,1.3999999999999961,-7.22800384768349e-15,-1.061396286771735e-13,55.99999999999981,-1.7656843773747367e-13,-7.241378445533299e-13,-2.625830758562512e-15
salsify,-27.622188731520694,-6321.147973644655,-2271.9756448276735,-2712.7567594545317,-568.9793177615351,14600.198288539212,419.21759873188125,-4777.157735103448,2255.0268195412486,-22.963039633319298,0.12363672850354925,55432.64227010231,-0.001303574577054452,-0.23109397866856238,0.049918498772656736,0.010022944393154473,-0.023700707415366833,-2.470492440177705,0.5649566834940911,0.1529000714865138,-7.2720233700399355,5.342413646433825,-0.21406759476620454,0.11333740265392266,26.037822180042145,38.29539880636016,-0.9800513988288664,-9.3117728742711,12.267011268673635,-74.39876364499344,20.629188671894156,233.9463226616245,-0.747137932009399
burger,54.99412787928449,4254.679328786044,1543.8928890611683,1368.4155375028713,1495.1182480161442,6552.940043339251,-1351.926493357338,-2408.6556878841166,1899.3139833953942,-9.105007657135282,-0.16113889097505418,-1665.4155785193434,0.00036375871542845855,0.5899514553821215,-0.005851848130231721,0.005129806826393402,0.10249879966321193,0.5831407374107769,-0.15033696238839678,0.07195589004924645,3.340859946641655,0.5186702608431404,0.2947901869010378,1.806502180082454,22.817281904473486,-7.353592148790291,1.2280319769240742,0.12880703644965763,2.3251779523662357,6.16022436787317,66.61265986601626,21.71771538052545,-1.8554053546045588
tomatillos,41.99999999999966,1299.9999999999127,200.0,199.9999999999818,600.0000000000136,7699.999999999998,5199.999999999991,1299.9999999999864,2499.999999999999,8.526512829121202e-14,0.01900000000000071,120999.99999999984,-6.938893903907228e-18,0.08800000000000023,0.09300000000000024,-3.0357660829594124e-17,0.09899999999999981,2.3999999999999964,0.1999999999999999,0.07399999999999918,15.399999999999949,8.881784197001252e-15,0.5000000000000013,0.03299999999999648,9.199999999999847,0.09999999999987352,0.8000000000000043,26.400000000000038,0.1999999999999318,51.50000000000013,353.79999999999995,0.05499999999985583,0.30000000000000027
pear,31.77989380152859,-1145.9653432122004,156.19234076841678,-284.15341916398324,-175.49713898383015,15011.906955632396,6830.7363572553095,-2584.9712170350585,2029.4911635773183,-7.10922824430012,-0.004825793927687977,54502.3662707508,-0.0022449601759843727,-0.021762258000121923,0.0346799864853293,0.009926356866585214,0.0010458535813060443,-0.7927401045325349,0.25443931709512624,0.02831860519298962,-0.33700109833418024,15.83093096213727,-0.15168121195810588,0.1035374803798573,-16.77522043134095,2.7502807055569525,-0.35453571763135083,-9.935032670392284,4.028914669923566,-43.724534288389115,21.558637530260597,39.23184081914734,-0.9066310075822304
macadamia,-223.92764674300957,-678.7854701320057,993.2868430338194,7724.9812204310265,-2016.844046543264,-23110.008723517905,-8341.277863204972,-33711.073363399235,-1695.4538411661688,-96.92463713856395,-0.029134503235239625,-95011.2985920282,0.0014394357919212857,-0.43146932439620517,-0.25293508812889404,-0.009251931309672508,-0.3168338179330899,-8.589627289488888,-2.757346596368179,-1.1095507854705047,-6.521014817141502,0.5417234286144381,-0.24698058563584918,0.8319536487017012,-38.80530332648631,-13.574324818861161,-4.641493199323008,-54.6753395604306,-5.6861743422458675,-299.9772640370992,-538.2769750239881,-74.54975874173874,-3.2842000830310107
yoghurt,60.31464593875806,5185.9558560110245,1297.5876013929505,2093.0547804841135,1822.9770364591327,831.8704062186259,346.8685570126313,4179.62503674172,1922.8875919520524,-10.659267380615354,0.7714029977000952,3452.160285445785,-0.0017336216083787804,0.01952209199309994,0.1319257275526321,0.03951320099417962,-8.457207924781468e-06,-1.185194386019963,-0.06713338271547632,0.04523504558893978,0.40738161599347666,1.2395924629973298,0.5291909685065856,-0.5691926056589423,49.74344280853501,11.904030794743088,1.5471280732825847,38.57474939555201,8.47020857746059,69.26586745664854,261.03646881641276,53.218303814926145,0.39185278736857276
gatto,50.500000000003155,2350.0000000001737,1150.0000000001178,5250.000000000092,2350.0000000000728,1000.0000000001526,900.0000000000236,8.383978266396933e-11,-4.3922614820295793e-13,-1.595073755127253e-12,9.315526381067909e-15,-1.3662713315330804e-11,3.7442153606211345e-17,1.2106005282394868e-15,1.4797474756138738e-14,-1.3323188369057465e-15,-6.181013793952845e-16,2.175316617765325e-14,1.2804003533532907e-15,7.261330531079109e-16,1.8567419807911916e-14,9.08410742325164e-15,7.767719978378389e-15,-2.179067109751246e-16,3.7167100170760163e-13,-1.0610709990548107e-13,4.947549266645954e-15,4.592123537645407e-13,-6.650636887472091e-15,1.4035610508741315e-12,2.672211124372568e-12,6.59121451101009e-14,8.976952888659228e-15
pickle,31.242761108600714,3078.314796641165,1069.0719710567487,2128.356906259808,-212.3394486228608,-3049.5918808026177,6913.324846848203,2906.805713000469,951.0729557206668,29.74545345834675,1.3165461561846248,78650.10486686236,0.0011121491197141962,-0.0002871439325279404,-0.013949862151729706,0.0014159648852312442,-0.05591009289070282,0.5966293939894862,0.12826697902601708,0.03533556153602034,-12.030012096441236,-1.7431669619717216,0.21097776746987912,0.00036819166032781014,-12.944890271323521,-1.7131059667040294,-0.11228032460264603,6.289487397101217,-0.4824112041263535,56.989446011247885,19.37402473305322,-15.412781002028211,0.15429407765765343
